68,74,77,73,57,141,160,170,124,288,358,350,310,419,466,209,246
68,74,77,73,57,141,160,170,124,287,357,349,309,418,465,205,246
68,74,77,73,57,140,160,170,124,287,357,349,307,418,464,203,242
68,74,77,73,57,140,159,169,124,286,356,349,307,418,461,202,240
68,74,77,73,57,140,159,169,124,286,354,349,304,417,460,202,237
68,74,77,73,57,140,159,169,123,285,354,348,303,414,458,202,236
68,74,77,73,57,140,159,169,123,284,354,347,303,412,456,200,234
68,73,77,73,57,140,158,169,123,284,354,347,301,407,455,200,234
68,73,77,73,57,139,158,169,122,283,353,347,300,404,453,200,234
68,73,77,73,57,139,158,169,122,282,353,346,298,404,450,199,232
67,73,77,73,57,139,157,169,122,282,352,346,298,403,445,198,232
67,73,77,73,57,139,156,169,122,281,352,345,295,400,444,198,232
67,73,77,72,57,139,155,169,122,279,351,345,295,399,442,197,231
67,73,77,72,57,139,153,169,121,278,351,342,295,397,442,197,230
67,73,77,72,57,139,153,169,121,276,351,342,294,394,441,196,228
67,73,77,72,57,139,153,169,120,276,351,341,293,393,439,192,228
66,73,77,72,57,139,153,169,120,275,351,339,292,392,438,190,227
66,73,77,72,57,139,153,169,120,274,351,337,290,391,436,189,226
66,72,77,72,57,139,153,169,120,274,350,336,290,389,433,189,224
66,72,77,72,57,139,153,169,120,273,350,334,287,387,431,189,224
66,72,77,72,57,139,153,169,120,273,348,332,286,387,428,189,222
66,72,77,72,57,139,153,169,120,272,348,330,286,384,427,186,222
66,72,77,72,57,139,152,169,120,271,348,329,286,383,423,184,222
66,72,77,72,57,138,152,168,120,270,348,327,286,382,420,184,221
66,72,77,71,57,138,152,168,120,269,347,326,286,380,418,183,220
66,72,77,71,57,138,151,168,120,269,347,324,285,380,414,182,219
66,72,77,71,57,138,151,168,119,268,345,323,285,379,413,180,218
65,72,77,71,57,138,151,167,118,267,345,323,284,377,411,180,217
65,72,77,71,57,138,151,167,118,265,344,322,284,377,410,177,215
65,72,77,71,57,138,151,166,117,265,344,321,282,373,410,177,214
65,72,77,71,57,138,151,166,117,263,343,320,282,371,409,176,212
65,72,77,71,57,138,151,166,117,263,342,320,281,369,404,175,212
65,72,77,71,57,138,151,166,117,262,342,320,281,366,402,173,210
65,72,77,71,57,138,151,164,117,262,341,320,280,363,402,172,208
65,72,77,71,57,138,151,164,117,262,339,319,279,361,400,171,207
65,72,77,71,57,137,151,164,117,259,339,319,279,360,396,171,206
65,71,77,70,57,137,151,164,117,258,339,318,279,357,394,171,205
65,71,77,70,57,136,151,163,117,257,338,316,277,357,392,171,205
65,71,77,70,57,136,151,162,117,257,337,311,277,356,391,170,205
65,70,77,70,57,135,151,161,117,257,337,311,276,354,389,168,205
65,70,77,70,57,135,151,161,117,256,337,308,275,352,388,167,204
64,70,77,70,57,135,151,159,117,255,336,308,275,348,387,167,204
64,70,77,69,57,135,151,159,117,255,336,307,274,345,384,167,203
64,70,77,69,57,135,151,159,117,255,336,305,273,342,382,166,202
64,69,77,68,56,135,151,159,117,254,335,304,272,341,381,166,201
64,69,77,68,56,134,151,159,117,254,335,303,270,339,380,164,200
64,69,77,67,56,134,151,158,117,252,334,303,270,339,377,163,199
64,69,77,67,56,134,151,158,117,251,333,303,270,338,373,161,198
64,69,77,67,56,134,151,157,117,251,331,303,270,335,369,161,198
64,69,77,67,56,133,151,154,117,251,331,302,270,332,368,160,198
62,68,77,67,56,133,150,154,117,251,331,302,269,331,365,159,198
62,67,77,67,55,133,150,153,116,251,330,301,269,330,363,158,198
62,67,77,67,55,133,150,153,116,250,328,300,267,328,361,158,198
